p	M_p	T_p_minus_1
535391	-74	-82.0402933295
535571	-61	-72.9710040194
535679	-55	-71.7160414512
535811	-50	-73.3276657527
535967	-51	-71.0637533229
536087	-50	-69.4230192972
536213	-51	-69.6774461433
536293	-68	-81.5713627114
536443	-64	-77.9994378913
536531	-69	-83.9438157308
536677	-72	-82.2505173176
536777	-70	-84.5855057036
536891	-76	-90.7296564128
536999	-85	-96.6643202993
537079	-92	-102.6953747303
537221	-105	-107.4378611955
537373	-92	-97.6276828928
537587	-82	-87.0675482996
537743	-76	-82.5122589575
537853	-83	-89.3703451691
538049	-79	-83.4703076410
538151	-77	-83.3306407879
538283	-67	-80.2252138928
538399	-68	-81.7704878252
538523	-75	-89.1461876995
538651	-77	-90.2304244903
538777	-68	-85.9154795575
538921	-68	-85.0166687369
539089	-58	-76.9247900935
539167	-60	-82.8880187226
539303	-50	-74.3746082452
539447	-53	-76.8810517312
539629	-40	-67.8298649757
539723	-36	-66.4316206287
539863	-48	-72.6552050942
540101	-50	-66.7867172968
540187	-51	-66.8441609903
540343	-41	-64.6067909619
540437	-49	-71.0171941419
540577	-54	-70.2914504237
540691	-61	-74.7817210691
540809	-56	-72.1886821819
541001	-43	-61.4914163041
541153	-43	-59.5946900503
541283	-42	-57.9163873495
541417	-42	-57.0896134698
541537	-31	-51.5264282237
541657	-32	-54.4690762427
541771	-51	-68.5260572164
541927	-39	-57.3345588951
542053	-37	-57.9914408145
542131	-39	-62.4496870598
542237	-49	-72.8747837391
542441	-45	-62.0763462385
542539	-44	-64.1651976872
542693	-35	-56.2676010107
542821	-33	-55.1355781441
542947	-40	-58.9405462610
543113	-37	-55.4007178484
543217	-46	-61.0874994718
543299	-49	-66.3538970704
543407	-61	-73.9148000742
543601	-54	-66.3528714689
543703	-58	-71.3645007968
543827	-58	-71.4311267641
543901	-61	-74.9197585219
544021	-60	-75.5142318294
544177	-60	-74.9535436011
544399	-55	-67.3153523025
544543	-31	-50.3690949477
544721	-24	-46.5030781952
544837	-18	-42.6694539749
544937	-20	-44.2335605198
545089	-23	-40.3196169270
545231	-23	-42.1469058370
545443	-6	-29.2902327252
545549	-15	-36.3373544403
545663	-13	-33.6247216525
547787	-4	-20.1235876278
548869	-17	-23.0249520953
549011	-21	-28.3000662545
549139	-20	-28.4615702513
549247	-24	-31.0327090216
549403	-11	-20.8343148003
549533	-22	-25.4814201357
549643	-21	-25.3899163981
549737	-27	-30.7741556319
549883	-17	-22.0690686057
551039	-11	-29.1574391262
551207	-4	-22.8652846909
551743	-7	-25.9627163747
551909	-3	-24.4294350751
554317	-5	-25.8848404983
559901	-5	-6.6320290610
560039	-11	-7.3956463520
560137	-15	-13.6728175451
560227	-24	-23.1031564285
