p,wobble_p,wobble_pm1,delta_w,farey_size_p,mertens_p,m_over_sqrt_p,violation
1451,4.393048102864807e-04,4.384183261375384e-04,-8.864841489423093e-07,640589,3,0.0787567069,0
1453,4.397068348958155e-04,4.385620244941128e-04,-1.144810401702682e-06,642481,2,0.0524683236,0
1459,4.374848106985820e-04,4.363154299443238e-04,-1.169380754258121e-06,647875,2,0.0523603269,0
1471,4.342483046959693e-04,4.333273858698892e-04,-9.209188260801194e-07,658409,3,0.0782194789,0
1481,4.289229820469246e-04,4.280054682997558e-04,-9.175137471687943e-07,667343,3,0.0779549551,0
1483,4.304813606157368e-04,4.293946715160798e-04,-1.086689099657080e-06,669257,3,0.0779023716,0
1487,4.307354679188264e-04,4.294681078221712e-04,-1.267360096655239e-06,672829,3,0.0777975231,0
1489,4.319380717429122e-04,4.304211718116114e-04,-1.516899931300721e-06,674797,2,0.0518301716,0
1493,4.304446715527579e-04,4.285143574452514e-04,-1.930314107506583e-06,678465,-1,-0.0258803471,0
1499,4.295266239210572e-04,4.272025871499578e-04,-2.324036771099403e-06,683783,-3,-0.0774854997,0
1511,4.240531916477956e-04,4.219120267827764e-04,-2.141164865019198e-06,694723,-3,-0.0771772008,0
1523,4.196931406768190e-04,4.180491517535197e-04,-1.643988923299272e-06,705809,0,0.0000000000,0
1531,4.178295959132834e-04,4.162839302273636e-04,-1.545665685919839e-06,713231,0,0.0000000000,0
1543,4.128136169121866e-04,4.115802039725762e-04,-1.233412939610355e-06,724473,0,0.0000000000,0
1549,4.120558155090410e-04,4.104442819680181e-04,-1.611533541022881e-06,730033,-2,-0.0508164458,0
1553,4.110451047612363e-04,4.090763740876989e-04,-1.968730673537387e-06,733873,-4,-0.1015019214,0
1559,4.093664640359620e-04,4.074318748564084e-04,-1.934589179553600e-06,739631,-4,-0.1013064119,0
1567,4.068012794589928e-04,4.050346060647438e-04,-1.766673394248996e-06,747109,-3,-0.0757856110,0
1571,4.074731875075116e-04,4.055575924548916e-04,-1.915595052619928e-06,751019,-4,-0.1009187584,0
1579,4.057180654122900e-04,4.038464961702243e-04,-1.871569242065617e-06,758727,-4,-0.1006627814,0
1583,4.073915258642786e-04,4.050471556700920e-04,-2.344370194186601e-06,762565,-7,-0.1759371622,0
1597,4.006382814590355e-04,3.987156541379296e-04,-1.922627321105828e-06,775897,-5,-0.1251173526,0
1601,4.018668649852205e-04,3.995181032703184e-04,-2.348761714902144e-06,779833,-8,-0.1999375293,0
1607,4.023376898101298e-04,3.998016831390046e-04,-2.536006671125218e-06,785703,-10,-0.2494549129,0
1609,4.042513603684938e-04,4.014980627657904e-04,-2.753297602703418e-06,787839,-11,-0.2742298102,0
1613,4.044576601969505e-04,4.015784675023022e-04,-2.879192694648335e-06,791767,-11,-0.2738895746,0
1619,4.050475281584725e-04,4.018673714490226e-04,-3.180156709449921e-06,797521,-13,-0.3230873305,0
1621,4.080054763322414e-04,4.046308662602800e-04,-3.374610071961372e-06,799573,-14,-0.3477254904,0
1627,4.073995248748675e-04,4.040017368354358e-04,-3.397788039431651e-06,805501,-14,-0.3470837325,0
1637,4.058895129323493e-04,4.024611727329186e-04,-3.428340199430619e-06,815465,-16,-0.3954536997,0
1657,3.891937389752333e-04,3.866530446162417e-04,-2.540694358991568e-06,835337,-10,-0.2456624313,0
1663,3.909306007772421e-04,3.882776351955528e-04,-2.652965581689381e-06,841471,-11,-0.2697407499,0
1667,3.912338750092750e-04,3.883544409307997e-04,-2.879434078475324e-06,845441,-12,-0.2939093797,0
1669,3.946084497487015e-04,3.915147908794232e-04,-3.093658869278329e-06,847661,-13,-0.3182109968,0
1693,3.799139049807088e-04,3.777066352115827e-04,-2.207269769126093e-06,872107,-9,-0.2187328594,0
1697,3.822220754901926e-04,3.797393591278413e-04,-2.482716362351323e-06,876191,-11,-0.2670249018,0
1699,3.858133517506196e-04,3.830918849230520e-04,-2.721466827567559e-06,878453,-13,-0.3153890877,0
1709,3.826711416570461e-04,3.799018279254578e-04,-2.769313731588302e-06,888593,-13,-0.3144650040,0
