p,mertens_p,m_over_sqrt_p,abs_m
3691,-9,-0.1481393678,9
3697,-7,-0.1151259733,7
3701,-8,-0.1315014206,8
3709,-9,-0.1477794660,9
3719,-7,-0.1147849504,7
3727,-8,-0.1310419330,8
3733,-12,-0.1964048695,12
3739,-10,-0.1635393501,10
3761,-6,-0.0978362017,6
3767,-8,-0.1303443399,8
3769,-9,-0.1465984710,9
3779,-6,-0.0976029186,6
3793,-7,-0.1136597296,7
3797,-8,-0.1298283951,8
3803,-8,-0.1297259394,8
3821,-8,-0.1294200217,8
3823,-9,-0.1455594348,9
3833,-7,-0.1130651154,7
3847,-8,-0.1289819367,8
3851,-8,-0.1289149331,8
3853,-9,-0.1449916543,9
3863,-12,-0.1930718207,12
3877,-9,-0.1445421828,9
3881,-11,-0.1765716046,11
3889,-12,-0.1924253453,12
3907,-8,-0.1279877138,8
3911,-7,-0.1119319660,7
3917,-10,-0.1597802934,10
3919,-12,-0.1916874210,12
3923,-13,-0.2075554771,13
3929,-14,-0.2233505474,14
3931,-14,-0.2232937225,14
3943,-15,-0.2388789440,15
3947,-16,-0.2546750614,16
3967,-15,-0.2381552495,15
3989,-10,-0.1583317390,10
4001,-10,-0.1580941225,10
4003,-10,-0.1580546236,10
4007,-10,-0.1579757147,10
4013,-12,-0.1894290870,12
4019,-15,-0.2366095426,15
4021,-16,-0.2523207379,16
4027,-15,-0.2363744026,15
4049,-13,-0.2043005162,13
4051,-14,-0.2199616223,14
4057,-14,-0.2197989087,14
4073,-14,-0.2193667649,14
4079,-13,-0.2035478407,13
4091,-17,-0.2657872732,17
4093,-18,-0.2813530534,18
4099,-20,-0.3123856219,20
4111,-16,-0.2495434898,16
4127,-14,-0.2179268800,14
4129,-15,-0.2334365293,15
4133,-15,-0.2333235397,15
4139,-14,-0.2176107383,14
4153,-14,-0.2172436396,14
4157,-17,-0.2636689011,17
4159,-18,-0.2791117019,18
4177,-14,-0.2166186266,14
4201,-8,-0.1234279870,8
4211,-12,-0.1849220185,12
4217,-13,-0.2001896184,13
4219,-13,-0.2001421633,13
4229,-10,-0.1537733789,10
4231,-11,-0.1691107332,11
4241,-14,-0.2149779412,14
4243,-14,-0.2149272687,14
4253,-16,-0.2453422203,16
4259,-18,-0.2758155105,18
4261,-19,-0.2910702600,19
4271,-15,-0.2295231382,15
4273,-16,-0.2447673784,16
4283,-13,-0.1986411931,13
4289,-11,-0.1679634018,11
4297,-12,-0.1830621544,12
4327,-6,-0.0912132232,6
4337,-7,-0.1062926731,7
4339,-8,-0.1214493408,8
4349,-10,-0.1516370393,10
4357,-11,-0.1666475393,11
4363,-11,-0.1665329129,11
4373,-11,-0.1663423936,11
4391,-8,-0.1207280729,8
4397,-9,-0.1357263833,9
4409,-11,-0.1656618991,11
4421,-7,-0.1052780380,7
4423,-7,-0.1052542329,7
4441,-8,-0.1200465270,8
4447,-8,-0.1199655149,8
4451,-8,-0.1199115978,8
4457,-9,-0.1348097156,9
4463,-11,-0.1646566373,11
4481,-5,-0.0746934522,5
4483,-6,-0.0896121467,6
4493,-5,-0.0745936391,5
4507,-6,-0.0893732336,6
4513,-5,-0.0744281694,5
