Sieving to 243799 ...
Sieve done. Scanning qualifying primes (M(p) <= -3) up to 200000 ...
p,M_p,R,min_R_so_far
9739,-34,26.96795551,0.11989382
9743,-35,28.29052915,0.11989382
9749,-36,28.66564938,0.11989382
9767,-31,24.29063296,0.11989382
9769,-32,25.23830928,0.11989382
9781,-31,24.91550840,0.11989382
9787,-33,26.51232749,0.11989382
9791,-34,27.52580348,0.11989382
9803,-33,26.70378870,0.11989382
9811,-34,27.30163861,0.11989382
9817,-36,29.09620047,0.11989382
9829,-38,30.64954681,0.11989382
9833,-41,32.57987065,0.11989382
9839,-41,32.98785876,0.11989382
9851,-41,33.37294130,0.11989382
9857,-42,34.10418669,0.11989382
9859,-42,34.79302868,0.11989382
9871,-39,32.05459258,0.11989382
9883,-41,33.26283186,0.11989382
9887,-42,34.49764862,0.11989382
9901,-38,32.20487232,0.11989382
9907,-37,32.35390336,0.11989382
9923,-38,32.62420261,0.11989382
9929,-40,33.96219336,0.11989382
9931,-40,34.70260530,0.11989382
9941,-35,31.81922739,0.11989382
9949,-35,31.80291510,0.11989382
9967,-34,30.90071961,0.11989382
9973,-35,31.66679949,0.11989382
10007,-21,21.05932062,0.11989382
10009,-22,22.09000211,0.11989382
10037,-19,19.09942229,0.11989382
10039,-19,19.81077957,0.11989382
10061,-18,18.85899917,0.11989382
10067,-18,18.81463724,0.11989382
10069,-19,19.97619282,0.11989382
10079,-15,18.43508185,0.11989382
10091,-15,18.26680164,0.11989382
10093,-16,19.26728882,0.11989382
10099,-17,19.81429941,0.11989382
10103,-16,19.85464246,0.11989382
10111,-17,20.78889257,0.11989382
10133,-15,18.72785747,0.11989382
10139,-17,20.26214011,0.11989382
10141,-18,21.24302891,0.11989382
10151,-18,21.41733454,0.11989382
10159,-20,22.51297848,0.11989382
10163,-20,22.83251085,0.11989382
10169,-20,23.60797380,0.11989382
10177,-18,22.38724296,0.11989382
10181,-20,24.09446771,0.11989382
10193,-21,23.78226552,0.11989382
10211,-24,25.27894651,0.11989382
10223,-20,22.30219377,0.11989382
10243,-17,19.72705138,0.11989382
10247,-20,21.96675128,0.11989382
10253,-20,22.37730948,0.11989382
10259,-25,25.43922535,0.11989382
10267,-25,25.23451195,0.11989382
10271,-25,26.30408149,0.11989382
10273,-26,27.31844336,0.11989382
10289,-30,29.92322598,0.11989382
10301,-30,30.05080044,0.11989382
10303,-30,30.74939273,0.11989382
10313,-31,31.47971590,0.11989382
10321,-30,30.72464038,0.11989382
10331,-34,33.03884178,0.11989382
10333,-35,33.98551257,0.11989382
10337,-34,34.03256132,0.11989382
10343,-35,34.48049298,0.11989382
