p,M_p,R,B_plus_C_sign,margin_above_neg1
307,-2,3.074182,1,4.074182
311,-3,4.086855,1,5.086855
313,-4,5.056143,1,6.056143
317,-4,5.406770,1,6.406770
331,0,2.245992,1,3.245992
337,1,1.453115,1,2.453115
347,2,1.100090,1,2.100090
349,1,2.140288,1,3.140288
353,0,3.203372,1,4.203372
359,-1,3.644489,1,4.644489
367,-1,3.821048,1,4.821048
373,-2,4.193749,1,5.193749
379,-3,4.684809,1,5.684809
383,-2,4.745592,1,5.745592
389,-3,5.340504,1,6.340504
397,1,3.157686,1,4.157686
401,0,4.330548,1,5.330548
409,-1,4.126033,1,5.126033
419,0,2.803505,1,3.803505
421,-1,3.594374,1,4.594374
431,-3,3.824828,1,4.824828
433,-4,4.826846,1,5.826846
439,-7,6.044811,1,7.044811
443,-9,7.462904,1,8.462904
449,-7,6.633859,1,7.633859
457,-6,5.993201,1,6.993201
461,-6,6.666423,1,7.666423
463,-6,7.378349,1,8.378349
467,-7,8.419712,1,9.419712
479,-6,7.014348,1,8.014348
487,-5,6.316222,1,7.316222
491,-5,6.478622,1,7.478622
499,-6,6.883344,1,7.883344
503,-5,6.677958,1,7.677958
509,-6,7.032649,1,8.032649
521,-2,4.654075,1,5.654075
523,-3,5.732941,1,6.732941
541,0,2.836311,1,3.836311
547,3,1.520489,1,2.520489
557,4,0.333055,1,1.333055
563,4,0.658931,1,1.658931
569,5,0.353910,1,1.353910
571,5,1.006284,1,2.006284
577,4,1.899678,1,2.899678
587,6,0.482668,1,1.482668
593,6,0.225876,1,1.225876
599,4,1.531487,1,2.531487
601,3,2.468579,1,3.468579
607,0,3.725270,1,4.725270
613,-2,4.822024,1,5.822024
617,-3,5.877540,1,6.877540
619,-5,7.276412,1,8.276412
631,-3,5.917174,1,6.917174
641,-2,5.086718,1,6.086718
643,-4,6.435939,1,7.435939
647,-7,8.619625,1,9.619625
653,-8,9.146812,1,10.146812
659,-10,9.831266,1,10.831266
661,-11,10.663100,1,11.663100
673,-11,10.041056,1,11.041056
677,-11,10.530162,1,11.530162
683,-12,10.932854,1,11.932854
691,-9,9.182927,1,10.182927
701,-5,6.861365,1,7.861365
709,-4,6.310995,1,7.310995
719,-3,5.408382,1,6.408382
727,-2,4.435966,1,5.435966
733,-3,5.222277,1,6.222277
739,-2,5.014932,1,6.014932
